Reading process/ZINC2/R.haps.chrX.out.rds 
  4544 windows | step 5000 bp | smooth_half 50

=== RAW freq (before masking) for B2/B4, pos > 20Mb, REP=1, TRT=C ===
 founder      pos n_pools     mean_freq      min_freq      max_freq
      B2 21005000       1  8.458006e-03  8.458006e-03  8.458006e-03
      B2 21010000       1  6.474702e-03  6.474702e-03  6.474702e-03
      B2 21015000       1  5.878348e-03  5.878348e-03  5.878348e-03
      B2 21020000       1  7.599367e-03  7.599367e-03  7.599367e-03
      B2 21025000       1  6.753198e-03  6.753198e-03  6.753198e-03
      B2 21030000       1  7.380458e-03  7.380458e-03  7.380458e-03
      B2 21035000       1  1.260082e-02  1.260082e-02  1.260082e-02
      B2 21040000       1  1.124536e-02  1.124536e-02  1.124536e-02
      B2 21045000       1  1.204116e-02  1.204116e-02  1.204116e-02
      B2 21050000       1  1.084911e-02  1.084911e-02  1.084911e-02
      B2 21055000       1  1.064875e-02  1.064875e-02  1.064875e-02
      B2 21060000       1  1.543407e-02  1.543407e-02  1.543407e-02
      B2 21065000       1  1.379822e-02  1.379822e-02  1.379822e-02
      B2 21070000       1  1.256966e-02  1.256966e-02  1.256966e-02
      B2 21075000       1  1.407084e-02  1.407084e-02  1.407084e-02
      B2 21080000       1  2.048555e-02  2.048555e-02  2.048555e-02
      B2 21085000       1  2.734095e-02  2.734095e-02  2.734095e-02
      B2 21090000       1  3.105441e-02  3.105441e-02  3.105441e-02
      B2 21095000       1  3.382998e-02  3.382998e-02  3.382998e-02
      B2 21100000       1  3.368243e-02  3.368243e-02  3.368243e-02
      B2 21105000       1  3.669401e-02  3.669401e-02  3.669401e-02
      B2 21110000       1  4.598630e-02  4.598630e-02  4.598630e-02
      B2 21115000       1  4.581450e-02  4.581450e-02  4.581450e-02
      B2 21120000       1  5.160237e-02  5.160237e-02  5.160237e-02
      B2 21125000       1  6.117449e-02  6.117449e-02  6.117449e-02
      B2 21130000       1  5.830282e-02  5.830282e-02  5.830282e-02
      B2 21135000       1  5.237151e-02  5.237151e-02  5.237151e-02
      B2 21140000       1  4.450860e-02  4.450860e-02  4.450860e-02
      B2 21145000       1  4.724969e-02  4.724969e-02  4.724969e-02
      B2 21150000       1  4.675045e-02  4.675045e-02  4.675045e-02
      B2 21155000       1  4.684440e-02  4.684440e-02  4.684440e-02
      B2 21160000       1  4.116092e-02  4.116092e-02  4.116092e-02
      B2 21165000       1  3.501740e-02  3.501740e-02  3.501740e-02
      B2 21170000       1  3.595969e-02  3.595969e-02  3.595969e-02
      B2 21175000       1  2.561076e-02  2.561076e-02  2.561076e-02
      B2 21180000       1  2.290110e-02  2.290110e-02  2.290110e-02
      B2 21185000       1  2.039841e-02  2.039841e-02  2.039841e-02
      B2 21190000       1  2.147749e-02  2.147749e-02  2.147749e-02
      B2 21195000       1  2.085588e-02  2.085588e-02  2.085588e-02
      B2 21200000       1  1.995577e-02  1.995577e-02  1.995577e-02
      B2 21205000       1  2.113049e-02  2.113049e-02  2.113049e-02
      B2 21210000       1  1.723354e-02  1.723354e-02  1.723354e-02
      B2 21215000       1  1.605232e-02  1.605232e-02  1.605232e-02
      B2 21220000       1  1.581272e-02  1.581272e-02  1.581272e-02
      B2 21225000       1  8.848860e-03  8.848860e-03  8.848860e-03
      B2 21230000       1  8.691089e-03  8.691089e-03  8.691089e-03
      B2 21235000       1  6.173639e-03  6.173639e-03  6.173639e-03
      B2 21240000       1  5.185676e-03  5.185676e-03  5.185676e-03
      B2 21245000       1  3.992522e-03  3.992522e-03  3.992522e-03
      B2 21250000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21255000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21260000       1  4.401253e-03  4.401253e-03  4.401253e-03
